k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,5,300,150,80000,0.1,1340.73,1246,5.09245,1284.72,0.000579374,80000,157.629,1371,56,0.935269,46.2746,26.6233,1453.62
2000,5,300,120,60000,0.15,1340.73,1246,5.09245,1114.9,0.00173812,60000,155.36,1371,46,0.907064,33.0933,19.0397,1436.04
2000,5,300,120,60000,0.12,1340.73,1246,5.09245,1114.9,0.000289687,60000,155.36,1371,45,0.907064,33.0852,19.035,1435.04
2000,5,300,120,60000,0.1,1340.73,1246,5.09245,1114.9,0.000289687,60000,155.36,1371,46,0.907064,33.8491,19.4745,1436.47
2000,5,300,120,70000,0.15,1340.73,1246,5.09245,1284.21,0.00260718,70000,156.24,1371,45,0.926232,38.374,22.0778,1438.08
2000,5,300,120,70000,0.12,1340.73,1246,5.09245,1284.21,0.00115875,70000,156.24,1371,45,0.926232,38.2413,22.0015,1438
2000,5,300,120,70000,0.1,1340.73,1246,5.09245,1284.21,0.000579374,70000,156.24,1371,45,0.926232,38.3337,22.0547,1438.05
2000,5,300,120,80000,0.15,1340.73,1246,5.09245,1452.05,0.00463499,80000,156.799,1371,44,0.939633,43.5791,25.0725,1440.07
2000,5,300,120,80000,0.12,1340.73,1246,5.09245,1452.05,0.00260718,80000,156.799,1371,44,0.939633,43.5087,25.032,1440.03
2000,5,300,120,80000,0.1,1340.73,1246,5.09245,1452.06,0.00115875,80000,156.799,1371,44,0.939633,43.5776,25.0717,1440.07
2000,5,300,100,60000,0.15,1340.73,1246,5.09245,1236.83,0.0023175,60000,154.711,1371,45,0.912829,33.1298,19.0607,1435.06
2000,5,300,100,60000,0.12,1340.73,1246,5.09245,1236.83,0.000869061,60000,154.711,1371,43,0.912829,33.06,19.0205,1433.02
2000,5,300,100,60000,0.1,1340.73,1246,5.09245,1236.83,0.000289687,60000,154.711,1371,44,0.912829,33.166,19.0815,1434.08
2000,5,300,100,70000,0.15,1340.73,1246,5.09245,1425.49,0.00405562,70000,155.432,1371,43,0.929688,38.5574,22.1833,1436.18
2000,5,300,100,70000,0.12,1340.73,1246,5.09245,1425.49,0.00202781,70000,155.432,1371,43,0.929688,38.5133,22.158,1436.16
2000,5,300,100,70000,0.1,1340.73,1246,5.09245,1425.49,0.000869061,70000,155.432,1371,43,0.929688,38.566,22.1883,1436.19
2000,5,300,100,80000,0.15,1340.73,1246,5.09245,1614.61,0.00637312,80000,155.896,1371,42,0.940724,43.7265,25.1573,1438.16
2000,5,300,100,80000,0.12,1340.73,1246,5.09245,1614.61,0.00318656,80000,155.896,1371,42,0.940724,43.8488,25.2277,1438.23
2000,5,300,100,80000,0.1,1340.73,1246,5.09245,1614.61,0.00115875,80000,155.896,1371,42,0.940724,43.8233,25.213,1438.21
2000,5,250,150,60000,0.15,1340.73,1246,5.09245,952.252,0.00115875,60000,156.059,1371,43,0.902487,32.4351,18.661,1432.66
2000,5,250,150,60000,0.12,1340.73,1246,5.09245,952.252,0,60000,156.059,1371,43,0.902487,32.4221,18.6535,1432.65
