k,itr,nb,nd,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
500,5,480,500,50000,5362.94,5073,4.55459,506.674,11.6741,50000,105.26,135,35,0.81371,29.0214,16.697,186.697
1500,5,60,180,60000,1787.65,1688,4.98021,625.725,37.1961,59873.7,115.536,944,39,0.829478,34.7419,19.9882,1002.99
1500,5,60,500,60000,1787.65,1688,4.98021,367.001,16.8893,59989.9,117.616,944,38,0.83252,33.2199,19.1125,1001.11
1500,5,120,180,60000,1787.65,1688,4.98021,701.709,37.1744,59988.4,113.154,944,39,0.893304,34.8491,20.0498,1003.05
1500,5,120,500,60000,1787.65,1688,4.98021,412.507,15.2767,60000,112.563,944,39,0.855541,33.2199,19.1125,1002.11
1500,5,240,180,60000,1787.65,1688,4.98021,793.565,36.25,60000,109.863,944,39,0.907857,34.8039,20.0238,1003.02
1500,5,240,500,60000,1787.65,1688,4.98021,518.975,17.2769,60000,106.061,944,40,0.825249,33.5901,19.3255,1003.33
1500,5,480,180,60000,1787.65,1688,4.98021,946.58,49.5119,60000,102.43,944,42,0.827538,35.4542,20.398,1006.4
1500,5,480,500,60000,1787.65,1688,4.98021,729.382,33.5707,60000,105.045,944,42,0.845267,33.6437,19.3563,1005.36
2000,5,60,180,70000,1340.73,1251,5.09235,757.061,70.3604,69412.2,117.211,1433,41,0.831882,38.9705,22.421,1496.42
2000,5,60,500,70000,1340.73,1251,5.09235,451.971,34.4867,69925.9,119.094,1433,40,0.838883,37.4597,21.5518,1494.55
2000,5,120,180,70000,1340.73,1251,5.09235,856.309,73.938,69931.8,112.753,1433,40,0.897417,40.2735,23.1707,1496.17
2000,5,120,500,70000,1340.73,1251,5.09235,518.11,33.8908,69991.6,113.285,1433,40,0.880702,37.7541,21.7212,1494.72
2000,5,240,180,70000,1340.73,1251,5.09235,971.935,75.5597,69987.4,109.626,1433,40,0.925739,39.9513,22.9853,1495.99
2000,5,240,500,70000,1340.73,1251,5.09235,618.831,35.0979,70000,105.644,1433,40,0.84345,38.2526,22.008,1495.01
2000,5,480,180,70000,1340.73,1251,5.09235,1124.24,92.5379,69998.8,102.255,1433,41,0.855232,41.1237,23.6598,1497.66
2000,5,480,500,70000,1340.73,1251,5.09235,848.012,57.593,70000,103.594,1433,41,0.856004,39.1955,22.5505,1496.55
2500,5,60,180,80000,1072.59,1004,5.17469,886.012,114.885,78090.7,115.737,1916,39,0.835418,44.1816,25.4192,1980.42
2500,5,60,500,80000,1072.59,1004,5.17469,537.583,61.3922,79768.2,117.607,1916,39,0.846193,42.2743,24.3218,1979.32
2500,5,120,180,80000,1072.59,1004,5.17469,1008.72,126.209,79785.5,111.257,1916,40,0.900276,44.5148,25.6108,1981.61
2500,5,120,500,80000,1072.59,1004,5.17469,624.172,61.2874,79954.4,112.165,1916,39,0.895341,43.2549,24.886,1979.89
2500,5,240,180,80000,1072.59,1004,5.17469,1151.36,133.073,79951.9,108.333,1916,40,0.937297,45.5837,26.2258,1982.23
2500,5,240,500,80000,1072.59,1004,5.17469,725.544,63.8662,79992.5,104.035,1916,41,0.854536,43.5707,25.0677,1982.07
2500,5,480,180,80000,1072.59,1004,5.17469,1313.21,156.112,79986.4,100.98,1916,40,0.876853,46.2714,26.6215,1982.62
2500,5,480,500,80000,1072.59,1004,5.17469,970.572,93.0267,80000,101.225,1916,40,0.865226,44.633,25.6788,1981.68
3000,5,60,180,90000,893.823,838,5.24736,997.064,157.627,85202.4,117.694,2409,37,0.840129,46.1744,26.5657,2472.57
3000,5,60,500,90000,893.823,838,5.24736,620.924,92.1254,89289.7,119.352,2409,37,0.850953,45.9163,26.4172,2472.42
3000,5,120,180,90000,893.823,838,5.24736,1160.42,189.699,89372.5,113.29,2409,37,0.908387,48.3641,27.8255,2473.83
3000,5,120,500,90000,893.823,838,5.24736,731.104,98.3013,89864.1,114.111,2409,38,0.907208,46.5968,26.8087,2473.81
3000,5,240,180,90000,893.823,838,5.24736,1333.62,205.484,89875,108.897,2409,39,0.944829,49.2016,28.3073,2476.31
3000,5,240,500,90000,893.823,838,5.24736,836.992,103.825,89966.1,104.93,2409,39,0.870603,47.0756,27.0842,2475.08
3000,5,480,180,90000,893.823,838,5.24736,1525,242.595,89957.5,105.236,2409,40,0.936632,49.4067,28.4253,2477.43
3000,5,480,500,90000,893.823,838,5.24736,1093.37,140.343,89991.8,102.416,2409,40,0.880357,47.5116,27.335,2476.34
3000,5,60,180,100000,893.823,826,5.24423,1078.07,171.26,92217.4,115.002,2400,38,0.844724,47.8441,27.5263,2465.53
3000,5,60,500,100000,893.823,826,5.24423,679.67,105.092,98814.5,117.146,2400,38,0.858523,48.611,27.9675,2465.97
3000,5,120,180,100000,893.823,826,5.24423,1272.55,215.231,98995.6,111.349,2400,38,0.912654,51.1622,29.4353,2467.44
3000,5,120,500,100000,893.823,826,5.24423,799.156,113.74,99782,112.505,2400,39,0.91223,49.3453,28.39,2467.39
3000,5,240,180,100000,893.823,826,5.24423,1467.61,237.184,99797.2,107.622,2400,39,0.950449,52.7028,30.3217,2469.32
3000,5,240,500,100000,893.823,826,5.24423,918.416,122.601,99938.3,104.013,2400,40,0.877217,50.2514,28.9113,2468.91
3000,5,480,180,100000,893.823,826,5.24423,1689.77,281.826,99921.6,103.893,2400,39,0.949194,53.2089,30.6128,2469.61
3000,5,480,500,100000,893.823,826,5.24423,1176.64,160.018,99980.4,100.935,2400,40,0.88533,50.4319,29.0152,2469.02
